station,latitude,longitude,month,temp_mean_c,temp_max_c,clear_sky_index,source,confidence,note
Bamako,12.63,-7.99,1,25.0,33.5,0.98,engineering,estimated,Cloud attenuation only; aerosol and dust are carried by the Linke turbidity climatology
Bamako,12.63,-7.99,2,27.5,36.5,0.98,engineering,estimated,
Bamako,12.63,-7.99,3,30.5,39.0,0.98,engineering,estimated,
Bamako,12.63,-7.99,4,32.0,40.0,0.97,engineering,estimated,Hottest month
Bamako,12.63,-7.99,5,31.0,38.5,0.94,engineering,estimated,First convective clouds
Bamako,12.63,-7.99,6,28.5,35.0,0.9,engineering,estimated,
Bamako,12.63,-7.99,7,26.5,32.0,0.83,engineering,estimated,Monsoon
Bamako,12.63,-7.99,8,26.0,31.0,0.8,engineering,estimated,Wettest month
Bamako,12.63,-7.99,9,26.5,32.0,0.85,engineering,estimated,
Bamako,12.63,-7.99,10,27.5,34.5,0.94,engineering,estimated,
Bamako,12.63,-7.99,11,26.5,35.0,0.98,engineering,estimated,
Bamako,12.63,-7.99,12,24.5,33.0,0.98,engineering,estimated,
Kayes,14.44,-11.44,1,25.5,34.0,0.98,engineering,estimated,Cloud attenuation only; aerosol and dust are carried by the Linke turbidity climatology
Kayes,14.44,-11.44,2,28.0,37.5,0.99,engineering,estimated,
Kayes,14.44,-11.44,3,31.5,41.0,0.99,engineering,estimated,
Kayes,14.44,-11.44,4,34.0,43.0,0.98,engineering,estimated,
Kayes,14.44,-11.44,5,34.5,43.0,0.96,engineering,estimated,
Kayes,14.44,-11.44,6,31.5,39.0,0.92,engineering,estimated,
Kayes,14.44,-11.44,7,28.5,34.5,0.86,engineering,estimated,
Kayes,14.44,-11.44,8,27.0,32.5,0.83,engineering,estimated,
Kayes,14.44,-11.44,9,27.5,33.5,0.88,engineering,estimated,
Kayes,14.44,-11.44,10,29.0,36.5,0.96,engineering,estimated,
Kayes,14.44,-11.44,11,27.5,36.0,0.98,engineering,estimated,
Kayes,14.44,-11.44,12,25.0,33.5,0.98,engineering,estimated,
Sikasso,11.32,-5.66,1,24.0,33.0,0.97,engineering,estimated,Cloud attenuation only; aerosol and dust are carried by the Linke turbidity climatology
Sikasso,11.32,-5.66,2,26.5,35.5,0.97,engineering,estimated,
Sikasso,11.32,-5.66,3,28.5,37.0,0.96,engineering,estimated,
Sikasso,11.32,-5.66,4,29.0,36.5,0.93,engineering,estimated,
Sikasso,11.32,-5.66,5,27.5,34.5,0.89,engineering,estimated,
Sikasso,11.32,-5.66,6,26.0,32.0,0.84,engineering,estimated,
Sikasso,11.32,-5.66,7,25.0,30.0,0.76,engineering,estimated,
Sikasso,11.32,-5.66,8,24.5,29.5,0.72,engineering,estimated,
Sikasso,11.32,-5.66,9,25.0,30.5,0.8,engineering,estimated,
Sikasso,11.32,-5.66,10,26.0,32.5,0.9,engineering,estimated,
Sikasso,11.32,-5.66,11,25.5,33.0,0.96,engineering,estimated,
Sikasso,11.32,-5.66,12,24.0,32.5,0.97,engineering,estimated,
Segou,13.44,-6.26,1,25.0,34.0,0.98,engineering,estimated,Cloud attenuation only; aerosol and dust are carried by the Linke turbidity climatology
Segou,13.44,-6.26,2,27.5,37.0,0.98,engineering,estimated,
Segou,13.44,-6.26,3,30.5,40.0,0.98,engineering,estimated,
Segou,13.44,-6.26,4,33.0,41.5,0.97,engineering,estimated,
Segou,13.44,-6.26,5,32.5,40.0,0.95,engineering,estimated,
Segou,13.44,-6.26,6,29.5,36.5,0.91,engineering,estimated,
Segou,13.44,-6.26,7,27.0,33.0,0.84,engineering,estimated,
Segou,13.44,-6.26,8,26.0,31.5,0.81,engineering,estimated,
Segou,13.44,-6.26,9,26.5,32.5,0.86,engineering,estimated,
Segou,13.44,-6.26,10,28.0,35.5,0.95,engineering,estimated,
Segou,13.44,-6.26,11,27.0,36.0,0.98,engineering,estimated,
Segou,13.44,-6.26,12,24.5,33.5,0.98,engineering,estimated,
