plant,month,availability,source,confidence,note
GEN_MANANTALI,1,0.62,omvs,estimated,Reservoir drawdown after the flood
GEN_MANANTALI,2,0.55,omvs,estimated,
GEN_MANANTALI,3,0.45,omvs,estimated,
GEN_MANANTALI,4,0.36,omvs,estimated,End of the dry season minimum
GEN_MANANTALI,5,0.32,omvs,estimated,Annual minimum before the rains
GEN_MANANTALI,6,0.40,omvs,estimated,First rains
GEN_MANANTALI,7,0.62,omvs,estimated,
GEN_MANANTALI,8,0.85,omvs,estimated,Flood season
GEN_MANANTALI,9,0.95,omvs,estimated,Annual maximum
GEN_MANANTALI,10,0.90,omvs,estimated,
GEN_MANANTALI,11,0.80,omvs,estimated,
GEN_MANANTALI,12,0.70,omvs,estimated,
GEN_GOUINA,1,0.50,omvs,estimated,Run-of-river follows the river discharge closely
GEN_GOUINA,2,0.40,omvs,estimated,
GEN_GOUINA,3,0.30,omvs,estimated,
GEN_GOUINA,4,0.22,omvs,estimated,
GEN_GOUINA,5,0.20,omvs,estimated,
GEN_GOUINA,6,0.30,omvs,estimated,
GEN_GOUINA,7,0.60,omvs,estimated,
GEN_GOUINA,8,0.90,omvs,estimated,
GEN_GOUINA,9,1.00,omvs,estimated,
GEN_GOUINA,10,0.95,omvs,estimated,
GEN_GOUINA,11,0.80,omvs,estimated,
GEN_GOUINA,12,0.62,omvs,estimated,
GEN_FELOU,1,0.50,omvs,estimated,
GEN_FELOU,2,0.40,omvs,estimated,
GEN_FELOU,3,0.30,omvs,estimated,
GEN_FELOU,4,0.22,omvs,estimated,
GEN_FELOU,5,0.20,omvs,estimated,
GEN_FELOU,6,0.30,omvs,estimated,
GEN_FELOU,7,0.60,omvs,estimated,
GEN_FELOU,8,0.90,omvs,estimated,
GEN_FELOU,9,1.00,omvs,estimated,
GEN_FELOU,10,0.95,omvs,estimated,
GEN_FELOU,11,0.80,omvs,estimated,
GEN_FELOU,12,0.62,omvs,estimated,
GEN_SELINGUE,1,0.65,edm-sa,estimated,Reservoir on the Sankarani
GEN_SELINGUE,2,0.55,edm-sa,estimated,
GEN_SELINGUE,3,0.42,edm-sa,estimated,
GEN_SELINGUE,4,0.30,edm-sa,estimated,
GEN_SELINGUE,5,0.28,edm-sa,estimated,
GEN_SELINGUE,6,0.38,edm-sa,estimated,
GEN_SELINGUE,7,0.65,edm-sa,estimated,
GEN_SELINGUE,8,0.90,edm-sa,estimated,
GEN_SELINGUE,9,1.00,edm-sa,estimated,
GEN_SELINGUE,10,0.92,edm-sa,estimated,
GEN_SELINGUE,11,0.82,edm-sa,estimated,
GEN_SELINGUE,12,0.72,edm-sa,estimated,
GEN_SOTUBA,1,0.45,edm-sa,estimated,Run-of-river on the Niger at Bamako
GEN_SOTUBA,2,0.32,edm-sa,estimated,
GEN_SOTUBA,3,0.22,edm-sa,estimated,
GEN_SOTUBA,4,0.15,edm-sa,estimated,
GEN_SOTUBA,5,0.15,edm-sa,estimated,
GEN_SOTUBA,6,0.25,edm-sa,estimated,
GEN_SOTUBA,7,0.55,edm-sa,estimated,
GEN_SOTUBA,8,0.90,edm-sa,estimated,
GEN_SOTUBA,9,1.00,edm-sa,estimated,
GEN_SOTUBA,10,0.95,edm-sa,estimated,
GEN_SOTUBA,11,0.75,edm-sa,estimated,
GEN_SOTUBA,12,0.58,edm-sa,estimated,
