name,country,subcountry,geonameid,latitude,longitude
Zégoua,Mali,Sikasso,2448322,,
Yorosso,Mali,Sikasso,2448442,,
Yanfolila,Mali,Sikasso,2448518,,
Toubakoura,Mali,Koulikoro,2448955,,
Timbuktu,Mali,Tombouctou,2449067,,
Siribala Coro,Mali,Segou,2450972,,
Sirakoro Méguétana,Mali,Koulikoro,2451029,,
Sikasso,Mali,Sikasso,2451185,,
Sibi,Mali,Koulikoro,2451241,,
Ségou,Mali,Segou,2451478,,
San,Mali,Segou,2451778,,
Sagalo,Mali,Kayes,2451935,,
Nioro,Mali,Kayes,2452651,,
Niono,Mali,Segou,2452655,,
Nara,Mali,Koulikoro,2453079,,
Mopti,Mali,Mopti,2453348,,
Markala,Mali,Segou,2453662,,
Moribabougou,Mali,Koulikoro,2453681,,
Moninnpébougou,Mali,Segou,2453776,,
Mahina,Mali,Kayes,2453927,,
Koutiala,Mali,Sikasso,2454268,,
Kouri,Mali,Sikasso,2454285,,
Koulikoro,Mali,Koulikoro,2454530,,
Koro,Mali,Mopti,2454674,,
Kolokani,Mali,Koulikoro,2454955,,
Kita,Mali,Kayes,2455216,,
Kidal,Mali,Kidal,2455290,,
Ké-Macina,Mali,Segou,2455465,,
Kayes,Mali,Kayes,2455518,,
Kati,Mali,Koulikoro,2455558,,
Kangaba,Mali,Koulikoro,2455735,,
Kalaban Koro,Mali,Koulikoro,2455914,,
Kadiolo,Mali,Sikasso,2455974,,
Kabala,Mali,Koulikoro,2456018,,
Goundam,Mali,Tombouctou,2456917,,
Gao,Mali,Gao,2457163,,
Pèlèngana,Mali,Segou,2457410,,
Finnkolo,Mali,Sikasso,2457430,,
Fana,Mali,Koulikoro,2457763,,
Douentza,Mali,Mopti,2458334,,
Dougabougou,Mali,Segou,2458359,,
Djenné,Mali,Mopti,2458589,,
Diré,Mali,Tombouctou,2458623,,
Diourou,Mali,Segou,2458634,,
Dioïla,Mali,Koulikoro,2458747,,
Diéma,Mali,Kayes,2458881,,
Bourem,Mali,Gao,2459657,,
Bougouni,Mali,Sikasso,2459775,,
Bla,Mali,Segou,2460013,,
Bankass,Mali,Mopti,2460401,,
Bandiagara,Mali,Mopti,2460489,,
Banamba,Mali,Koulikoro,2460546,,
Bamba,Mali,Gao,2460584,,
Bamako,Mali,Bamako,2460596,,
Bafoulabé,Mali,Kayes,2460755,,
Andéranboukan,Mali,Menaka,2461034,,
Dialakorodji,Mali,Koulikoro,2594078,,
I-n-Tillit,Mali,Gao,2596484,,
Massiogo,Mali,Sikasso,12718650,,
Sangarébougou,Mali,Koulikoro,12718651,,
