year,population,gdp,electricity_generation,electricity_demand,electricity_demand_per_capita,hydro_electricity,solar_electricity,wind_electricity,oil_electricity,gas_electricity,coal_electricity,biofuel_electricity,fossil_electricity,renewables_electricity,low_carbon_electricity,net_elec_imports,carbon_intensity_elec,renewables_share_elec
1980,7530522.0,7893522507.0,,,,,,,,,,,,,,,,
1981,7692763.0,7633887685.0,,,,,,,,,,,,,,,,
1982,7860196.0,7198211831.0,,,,,,,,,,,,,,,,
1983,8034400.0,7514189774.0,,,,,,,,,,,,,,,,
1984,8208599.0,7840598994.0,,,,,,,,,,,,,,,,
1985,8374661.0,8016484201.0,,,,,,,,,,,,,,,,
1986,8531272.0,8528636535.0,,,,,,,,,,,,,,,,
1987,8681167.0,8685988928.0,,,,,,,,,,,,,,,,
1988,8834001.0,8679173414.0,,,,,,,,,,,,,,,,
1989,8999935.0,9552949340.0,,,,,,,,,,,,,,,,
1990,9178826.0,9628796516.0,,,,,,,,,,,,,,,,
1991,9362885.0,10269524230.0,,,,,,,,,,,,,,,,
1992,9553540.0,9995131433.0,,,,,,,,,,,,,,,,
1993,9754786.0,10249532964.0,,,,,,,,,,,,,,,,
1994,9967035.0,10520791586.0,,,,,,,,,,,,,,,,
1995,10185368.0,10736646746.0,,,,,,,,,,,,,,,,
1996,10407274.0,11389964147.0,,,,,,,,,,,,,,,,
1997,10646499.0,11793168043.0,,,,,,,,,,,,,,,,
1998,10919577.0,12008585843.0,,,,,,,,,,,,,,,,
1999,11227420.0,12634193722.0,,,,,,,,,,,,,,,,
2000,11559291.0,12490372339.0,1.06,1.06,91.701,0.23,0.0,0.0,0.78,0.0,0.0,0.05,0.78,0.28,0.28,0.0,500.0,26.415
2001,11912162.0,14257391001.0,1.07,1.07,89.824,0.23,0.0,0.0,0.79,0.0,0.0,0.05,0.79,0.28,0.28,0.0,504.67,26.168
2002,12288051.0,14544531770.0,1.11,0.91,74.056,0.24,0.0,0.0,0.82,0.0,0.0,0.05,0.82,0.29,0.29,-0.2,504.51,26.126
2003,12684951.0,15730792757.0,1.11,0.7,55.183,0.23,0.0,0.0,0.83,0.0,0.0,0.05,0.83,0.28,0.28,-0.41,513.51,25.225
2004,13102415.0,15828925288.0,1.26,0.9,68.69,0.25,0.0,0.0,0.96,0.0,0.0,0.05,0.96,0.3,0.3,-0.36,515.87,23.81
2005,13538648.0,16700213321.0,1.49,1.09,80.51,0.45,0.0,0.0,0.99,0.0,0.0,0.05,0.99,0.5,0.5,-0.4,449.66,33.557
2006,13990143.0,17320423242.0,1.57,1.21,86.489,0.48,0.0,0.0,1.04,0.0,0.0,0.05,1.04,0.53,0.53,-0.36,445.86,33.758
2007,14457776.0,17779653731.0,1.58,1.32,91.3,0.47,0.0,0.0,1.06,0.0,0.0,0.05,1.06,0.52,0.52,-0.26,455.7,32.911
2008,14940786.0,18486110807.0,1.81,1.48,99.058,0.57,0.0,0.0,1.19,0.0,0.0,0.05,1.19,0.62,0.62,-0.33,441.99,34.254
2009,15435536.0,19186286887.0,1.56,1.31,84.869,0.67,0.0,0.0,0.84,0.0,0.0,0.05,0.84,0.72,0.72,-0.25,371.8,46.154
2010,15945201.0,20054729287.0,2.36,1.96,122.921,1.1,0.01,0.0,1.2,0.0,0.0,0.05,1.2,1.16,1.16,-0.4,351.7,49.153
2011,16469054.0,20518694824.0,2.16,2.42,146.942,1.15,0.02,0.0,0.94,0.0,0.0,0.05,0.94,1.22,1.22,0.26,305.56,56.481
2012,16957039.0,20347159384.0,2.31,1.86,109.689,1.24,0.03,0.0,0.99,0.0,0.0,0.05,0.99,1.32,1.32,-0.45,298.7,57.143
2013,17459619.0,20814126326.0,2.2,2.1,120.278,1.11,0.03,0.0,1.01,0.0,0.0,0.05,1.01,1.19,1.19,-0.1,318.18,54.091
2014,18020267.0,22288805151.0,2.51,2.26,125.414,1.38,0.03,0.0,1.05,0.0,0.0,0.05,1.05,1.46,1.46,-0.25,290.84,58.167
2015,18593022.0,23664472662.0,2.51,2.64,141.989,1.12,0.03,0.0,1.3,0.0,0.0,0.06,1.3,1.21,1.21,0.13,358.57,48.207
2016,19191298.0,25049317347.0,3.02,2.67,139.126,1.48,0.03,0.0,1.45,0.0,0.0,0.06,1.45,1.57,1.57,-0.35,331.13,51.987
2017,19813016.0,26378184458.0,3.44,3.19,161.005,1.48,0.03,0.0,1.87,0.0,0.0,0.06,1.87,1.57,1.57,-0.25,372.09,45.64
2018,20442031.0,27630093375.0,3.61,3.48,170.237,1.36,0.03,0.0,2.16,0.0,0.0,0.06,2.16,1.45,1.45,-0.13,404.43,40.166
2019,21068405.0,28946666484.0,3.81,3.86,183.213,1.37,0.03,0.0,2.35,0.0,0.0,0.06,2.35,1.46,1.46,0.05,417.32,38.32
2020,21713837.0,28586570096.0,3.94,4.09,188.359,1.44,0.1,0.0,2.33,0.0,0.0,0.07,2.33,1.61,1.61,0.15,401.02,40.863
2021,22388637.0,29459890071.0,3.94,4.1,183.129,1.33,0.14,0.0,2.4,0.0,0.0,0.07,2.4,1.54,1.54,0.16,416.24,39.086
2022,23072641.0,30551085997.0,4.34,4.61,199.804,1.64,0.15,0.0,2.48,0.0,0.0,0.07,2.48,1.86,1.86,0.27,391.71,42.857
2023,23769130.0,,6.01,5.29,222.558,0.97,0.15,0.0,4.82,0.0,0.0,0.07,4.82,1.19,1.19,-0.72,535.77,19.8
2024,24478597.0,,5.96,5.46,223.052,0.92,0.17,0.0,4.8,0.0,0.0,0.07,4.8,1.16,1.16,-0.5,538.59,19.463
