#1
double profiles(8760,3)
0.0 0.000000 0.220000
3600.0 0.000000 0.180000
7200.0 0.000000 0.160000
10800.0 0.000000 0.160000
14400.0 0.000000 0.180000
18000.0 0.000000 0.280000
21600.0 0.000000 0.400000
25200.0 0.000000 0.450000
28800.0 0.108058 0.500000
32400.0 0.301207 0.550000
36000.0 0.458137 0.580000
39600.0 0.566621 0.600000
43200.0 0.624128 0.580000
46800.0 0.630594 0.550000
50400.0 0.586919 0.520000
54000.0 0.494518 0.550000
57600.0 0.355831 0.680000
61200.0 0.177304 0.880000
64800.0 0.009342 1.000000
68400.0 0.000000 0.950000
72000.0 0.000000 0.750000
75600.0 0.000000 0.520000
79200.0 0.000000 0.350000
82800.0 0.000000 0.260000
86400.0 0.000000 0.220000
90000.0 0.000000 0.180000
93600.0 0.000000 0.160000
97200.0 0.000000 0.160000
100800.0 0.000000 0.180000
104400.0 0.000000 0.280000
108000.0 0.000000 0.400000
111600.0 0.000000 0.450000
115200.0 0.106504 0.500000
118800.0 0.299735 0.550000
122400.0 0.457055 0.580000
126000.0 0.565976 0.600000
129600.0 0.623917 0.580000
133200.0 0.630795 0.550000
136800.0 0.587502 0.520000
140400.0 0.495446 0.550000
144000.0 0.357067 0.680000
147600.0 0.178784 0.880000
151200.0 0.010025 1.000000
154800.0 0.000000 0.950000
158400.0 0.000000 0.750000
162000.0 0.000000 0.520000
165600.0 0.000000 0.350000
169200.0 0.000000 0.260000
172800.0 0.000000 0.220000
176400.0 0.000000 0.180000
180000.0 0.000000 0.160000
183600.0 0.000000 0.160000
187200.0 0.000000 0.180000
190800.0 0.000000 0.280000
194400.0 0.000000 0.400000
198000.0 0.000000 0.450000
201600.0 0.105006 0.500000
205200.0 0.298313 0.550000
208800.0 0.456021 0.580000
212400.0 0.565377 0.600000
216000.0 0.623748 0.580000
219600.0 0.631033 0.550000
223200.0 0.588116 0.520000
226800.0 0.496402 0.550000
230400.0 0.358324 0.680000
