bus,vn_kv,ikss_3ph_max_ka,sk_max_mva,source,confidence
BUS_FERKE_225,225.0,5.723,2230.3,pandapower-iec60909,derived
BUS_GOUINA_225,225.0,5.344,2082.6,pandapower-iec60909,derived
BUS_MANANTALI_225,225.0,5.075,1977.8,pandapower-iec60909,derived
BUS_MATAM_225,225.0,4.927,1920.1,pandapower-iec60909,derived
BUS_BAFOULABE_225,225.0,4.755,1853.1,pandapower-iec60909,derived
BUS_FELOU_225,225.0,4.753,1852.3,pandapower-iec60909,derived
BUS_KAYES_225,225.0,4.621,1800.9,pandapower-iec60909,derived
BUS_KODIALANI_225,225.0,3.676,1432.6,pandapower-iec60909,derived
BUS_SIRAKORO_225,225.0,3.611,1407.2,pandapower-iec60909,derived
BUS_KATI_225,225.0,3.365,1311.4,pandapower-iec60909,derived
BUS_KITA_225,225.0,2.765,1077.6,pandapower-iec60909,derived
BUS_SIKASSO_225,225.0,1.702,663.3,pandapower-iec60909,derived
BUS_SEGOU_225,225.0,1.593,620.8,pandapower-iec60909,derived
BUS_KOUTIALA_225,225.0,1.479,576.4,pandapower-iec60909,derived
BUS_KODIALANI_150,150.0,5.278,1371.3,pandapower-iec60909,derived
BUS_BALINGUE_150,150.0,5.276,1370.7,pandapower-iec60909,derived
BUS_SOTUBA_150,150.0,4.552,1182.6,pandapower-iec60909,derived
BUS_SELINGUE_150,150.0,2.078,539.9,pandapower-iec60909,derived
BUS_BOUGOUNI_150,150.0,1.046,271.8,pandapower-iec60909,derived
BUS_KAYES_33,33.0,23.232,1327.9,pandapower-iec60909,derived
BUS_SIRAKORO_33,33.0,21.767,1244.2,pandapower-iec60909,derived
BUS_BADALABOUGOU_33,33.0,14.91,852.2,pandapower-iec60909,derived
BUS_FALADIE_33,33.0,14.703,840.4,pandapower-iec60909,derived
BUS_LAFIABOUGOU_33,33.0,13.518,772.7,pandapower-iec60909,derived
BUS_SOTUBA_33,33.0,11.741,671.1,pandapower-iec60909,derived
BUS_SIKASSO_33,33.0,7.252,414.5,pandapower-iec60909,derived
BUS_SEGOU_33,33.0,6.953,397.4,pandapower-iec60909,derived
BUS_KITA_33,33.0,4.882,279.0,pandapower-iec60909,derived
BUS_KOUTIALA_33,33.0,3.989,228.0,pandapower-iec60909,derived
BUS_MARKALA_33,33.0,1.986,113.5,pandapower-iec60909,derived
